Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
155054,Strange Tales from a Chinese Studio,Pu Songling,"Songling, Pu",John Minford,0140447407,9780140447408,0,4.06,Penguin Books,Paperback,608,2006,1740,,2/18/2023,to-read,to-read (#70),to-read,,,,0,0
77270,"The Jungle Book (Jungle Book, #1)",Rudyard Kipling,"Kipling, Rudyard",,0812504690,9780812504699,0,3.9,Tor Classics ,Mass Market Paperback,277,1992,1894,,2/18/2023,to-read,to-read (#69),to-read,,,,0,0
33507,Twenty Thousand Leagues Under the Sea,Jules Verne,"Verne, Jules",Anthony Bonner,076072850X,9780760728505,0,3.89,Barnes & Noble,Hardcover,269,2002,1869,,2/18/2023,to-read,to-read (#68),to-read,,,,0,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk",0142437247,9780142437247,0,3.57,Penguin Classics ,Paperback,720,2003,1851,,2/18/2023,to-read,to-read (#67),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford",,,0,3.91,Penguin Books,Paperback,1023,2003,1615,,2/18/2023,to-read,to-read (#66),to-read,,,,0,0
2696,The Canterbury Tales,Geoffrey Chaucer,"Chaucer, Geoffrey",Nevill Coghill,0140424385,9780140424386,0,3.53,Penguin Books,Paperback,504,2003,1400,,2/18/2023,to-read,to-read (#64),to-read,,,,0,0
18254,Oliver Twist,Charles Dickens,"Dickens, Charles",Philip Horne,,,0,3.88,Penguin Books,Paperback,608,2003,1838,,2/18/2023,to-read,to-read (#63),to-read,,,,0,0
7733,Gulliver’s Travels,Jonathan Swift,"Swift, Jonathan",Robert DeMaria Jr.,0141439491,9780141439495,5,3.59,Penguin,Paperback,306,2017,1726,,2/18/2023,,,read,,,,1,0
7042,The Tale of Genji,Murasaki Shikibu,"Shikibu, Murasaki","Royall  Tyler, Minora Sugai",014243714X,9780142437148,4,3.72,Penguin,Paperback,1182,2003,1000,,2/18/2023,,,read,,,,1,0
93101,The Arabian Nights,Anonymous,"Anonymous, Anonymous","A.S. Byatt, Richard Francis Burton",0812972147,9780812972146,0,4.03,Modern Library,Mass Market Paperback,1049,2004,800,,2/18/2023,to-read,to-read (#62),to-read,,,,0,0
1923820,The Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,,,5,4.45,,Hardcover,1590,2008,1611,,2/18/2023,,,read,,,,1,0
19351,The Epic of Gilgamesh,Anonymous,"Anonymous, Anonymous","N.K. Sandars, John Maier, Herbert Mason, John H. Marks, Morris Jastrow Jr.",0141026286,9780141026282,4,3.75,Penguin Books Limited,Paperback,72,2006,-2000,,2/18/2023,,,read,,,,1,0
8130077,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,,,4,4.27,HarperCollins e-books,Kindle Edition,222,2009,1942,,2/18/2023,,,read,,,,1,0
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,1594744769,9781594744761,0,3.92,Quirk,Hardcover,352,2011,2011,,2/18/2023,to-read,to-read (#61),to-read,,,,0,0
91953,Leviathan,Thomas Hobbes,"Hobbes, Thomas","Marshall Missner, Crawford Brough Macpherson",0140431950,9780140431957,0,3.7,Penguin Books,Paperback,736,1981,1651,,2/18/2023,to-read,to-read (#60),to-read,,,,0,0
59808487,Starry Messenger: Cosmic Perspectives on Civilization,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,1250861500,9781250861504,0,4.11,Henry Holt and Co.,Hardcover,271,2022,2022,,2/18/2023,to-read,to-read (#59),to-read,,,,0,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,0062315005,9780062315007,0,3.92,HarperOne,Paperback,182,2014,1988,,2/18/2023,to-read,to-read (#58),to-read,,,,0,0
97411,Letters from a Stoic,Seneca,"Seneca, Seneca",,0140442103,9780140442106,0,4.33,Penguin Books,Paperback,254,2004,64,,2/18/2023,to-read,to-read (#57),to-read,,,,0,0
81779,The Symposium,Plato,"Plato, Plato",Christopher Gill,0140449272,9780140449273,0,4.09,Penguin Books,Paperback,90,2003,-380,,2/18/2023,to-read,to-read (#56),to-read,,,,0,0
19068,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","Hugh Tredennick, J.A.K. Thomson, Jonathan Barnes",0140449493,9780140449495,0,4,Penguin Classics,Paperback,329,2004,-350,,2/18/2023,to-read,to-read (#55),to-read,,,,0,0
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Gia-Fu Feng, Jane English, Jacob Needleman, Toinette Lippe, Claudio Lamparelli",0679724346,9780679724346,0,4.29,Vintage,Paperback,107,1989,-350,,2/18/2023,to-read,to-read (#54),to-read,,,,0,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,,,0,3.94,Harper Press,Paperback,170,2005,-500,,2/18/2023,to-read,to-read (#53),to-read,,,,0,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,0140449337,9780140449334,0,4.28,Penguin Books,Paperback,254,2006,180,,2/18/2023,to-read,to-read (#52),to-read,,,,0,0
61215351,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,,,0,4.41,William Morrow,Kindle Edition,432,2022,1954,,2/18/2023,to-read,to-read (#51),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,0812550706,9780812550702,0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2/18/2023,to-read,to-read (#50),to-read,,,,0,0
13,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,0345453743,9780345453747,0,4.38,Del Rey Books,Paperback,815,2002,1996,,2/18/2023,currently-reading,currently-reading (#2),currently-reading,,,,1,0
6359434,"And Another Thing... (The Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer,"Colfer, Eoin",,1401323588,9781401323585,0,3.57,Hyperion,Hardcover,275,2009,2009,,2/18/2023,to-read,to-read (#49),to-read,,,,0,0
